pricipal_country_served;primary_source_water_type;status;type;water_system_name;water_system_no
JEFFERSON;SWP;A;C;BLUFORD;IL0810150
WILL;GWP;A;C;BOND/MADISON WATER COMPANY;IL1975140
MACON;GWP;A;C;BONE GAP;IL1150020
GRUNDY;GW;A;C;BONNIE;IL0635125
HANCOCK;GWP;A;C;BONNIE BRAE FOREST MANOR SNDST;IL0670200
WAYNE;SWP;A;C;BOODY COMMUNITY WATER COMPANY;IL1915050
GRUNDY;GW;A;C;BOOKWALTER WOODS MHP;IL0630050
STARK;GW;A;C;BOWEN;IL1750050
WINNEBAGO;GW;A;C;BOYLESTON WATERWORKS CORP;IL2015050
WILL;GW;A;C;BRACEVILLE;IL1970150
CLINTON;SW;A;C;BRADFORD;IL0270250
LAKE;GW;A;C;BRADLEY HEIGHTS SUBDIVISION;IL0971060
LAWRENCE;GW;A;C;BRAIDWOOD;IL1010100
COOK;SWP;A;C;BREESE;IL0310270
MACOUPIN;SWP;A;C;BRIARCREST SBDV HOMEOWNERS ASSOCIATION;IL1174160
PEORIA;GW;A;C;BRIDGEPORT;IL1430150
CHAMPAIGN;GWP;A;C;BRIDGEVIEW;IL0190050
COOK;SWP;A;C;BRIGHTON;IL0310300
COOK;SWP;A;C;BRIMFIELD;IL0317580
LOGAN;GW;A;C;BROADLANDS;IL1070100
EDGAR;GW;A;C;BROADVIEW;IL0450050
COOK;SWP;A;C;BROADVIEW-WESTCHESTER JOINT WATER AGENCY;IL0310330
COOK;SWP;A;C;BROADWELL;IL0315130
MASSAC;GW;A;C;BROCTON;IL1270050
HAMILTON;GWP;A;C;BROOKFIELD;IL0650100
SCHUYLER;GW;A;C;BROOKFIELD-NORTH RIVERSIDE WATER COMM.;IL1690050
FAYETTE;GWP;A;C;BROOKPORT;IL0510100
WHITE;GWP;A;C;BROUGHTON WATER DISTRICT;IL1930020
CALHOUN;GW;A;C;BROWNING;IL0130100
FULTON;GWP;A;C;BROWNSTOWN;IL0570200
DE KALB;GW;A;C;BROWNSVILLE;IL0375100
KANKAKEE;GW;A;C;BRUSSELS;IL0910250
IROQUOIS;GW;A;C;BRYANT;IL0750150
FRANKLIN;SWP;A;C;BUCK LAKE ESTATES SUBDIVISION;IL0550100
BUREAU;GW;A;C;BUCKINGHAM;IL0110100
COOK;SWP;A;C;BUCKLEY;IL0314180
PEORIA;GW;A;C;BUCKNER;IL1430080
JACKSON;SWP;A;C;BUDA;IL0775420
MACOUPIN;SWP;A;C;BUFFALO GROVE;IL1170100
BUREAU;GW;A;C;BUFFALO HOLLOW FARMS WATER ASSOC;IL0110150
KANE;GW;A;C;BUNCOMBE WATER DISTRICT;IL0890150
COOK;SWP;A;C;BUNKER HILL;IL0310360
JOHNSON;SWP;A;C;BUREAU JUNCTION;IL0875050
WHITE;GWP;A;C;BURLINGTON;IL1930010
DU PAGE;SWP;A;C;BURNHAM;IL0434190
GRUNDY;GWP;A;C;BURNSIDE PWD;IL0630070
WILLIAMSON;SWP;A;C;BURNT PRAIRIE;IL1990050
MCDONOUGH;GW;A;C;BURR RIDGE;IL1090150
WILL;GW;A;C;BURT ESTATES MHC;IL1975195
MONTGOMERY;SWP;A;C;BUSH;IL1350050
HENRY;GW;A;C;BUSHNELL;IL0735000
OGLE;GW;A;C;BUSY BEE MHP #1;IL1410100
FORD;GW;A;C;BUTLER;IL0534200
ST CLAIR;SWP;A;C;BUYSSE SUBDIVISION;IL1630200
RICHLAND;GW;A;C;BYRON;IL1590050
CALHOUN;GW;A;C;CABERY;IL0130010
COOK;SWP;A;C;CAHOKIA;IL0310390
COOK;SWP;A;C;CALHOUN;IL0310420
DOUGLAS;GWP;A;C;CALHOUN COUNTY RWD;IL0410100
WILLIAMSON;SWP;A;C;CALUMET CITY;IL1990100
HENRY;GW;A;C;CALUMET PARK;IL0730300
SCHUYLER;GWP;A;C;CAMARGO;IL1695100
MARSHALL;GW;A;C;CAMBRIA;IL1235100
ADAMS;GWP;A;C;CAMBRIDGE;IL0010050
JACKSON;SWP;A;C;CAMDEN-LITTLETON WATER COMMISSION;IL0770100
LIVINGSTON;GW;A;C;CAMP GROVE;IL1050050
COOK;GWP;A;C;CAMP POINT;IL0315175
FULTON;GU;A;C;CAMPBELL HILL;IL0570250
BOONE;GW;A;C;CAMPUS;IL0070100
BOONE;GW;A;C;CANDLELIGHT VILLAGE MHP;IL0075105
ROCK ISLAND;GW;A;C;CANTON;IL1610100
GRUNDY;GWP;A;C;CAPRON;IL0630100
JACKSON;SW;A;C;CAPRON MHP;IL0770150
MACOUPIN;SW;A;C;CARBON CLIFF;IL1170150
MCLEAN;GW;A;C;CARBON HILL;IL1130250
CLINTON;SW;A;C;CARBONDALE;IL0270300
CLINTON;SWP;A;C;CARLINVILLE;IL0270010
CLINTON;SWP;A;C;CARLOCK;IL0275120
WHITE;GW;A;C;CARLYLE;IL1930100
DU PAGE;SWP;A;C;CARLYLE NORTH WATER COMPANY, INC.;IL0430200
KANE;GW;A;C;CARLYLE SOUTHWEST PWD;IL0890200
SALINE;GWP;A;C;CARMI;IL1650050
CARROLL;GW;A;C;CAROL STREAM;IL0155200
GREENE;GW;A;C;CARPENTERSVILLE;IL0610050
WILLIAMSON;SWP;A;C;CARRIER MILLS;IL1990150
HANCOCK;SW;A;C;CARROLL HEIGHTS UTILITIES COMPANY;IL0670250
MCHENRY;GW;A;C;CARROLLTON;IL1110100
CLARK;GWP;A;C;CARTERVILLE;IL0230050
ST CLAIR;SWP;A;C;CARTHAGE;IL1630250
CASS;GWP;A;C;CARY;IL0170010
WOODFORD;GW;A;C;CASEY;IL2035030
VERMILION;SWP;A;C;CASEYVILLE;IL1830150
HARDIN;GWP;A;C;CASS RURAL WATER DISTRICT;IL0690050
ROCK ISLAND;GW;A;C;CATERPILLAR TRAIL PWD;IL1615170
LA SALLE;GW;A;C;CATLIN;IL0995040
KNOX;GW;A;C;CAVE-IN-ROCK;IL0955150
STEPHENSON;GW;A;C;CEDAR BROOK ESTATES SUBDIVISION;IL1770050
ALEXANDER;GWP;A;C;CEDAR POINT WATER COMPANY;IL0035100
LAKE;SW;A;C;CEDAR WATER COMPANY, INC.;IL0971070
MACOUPIN;SWP;A;C;CEDARVILLE;IL1170040
COOK;SWP;A;C;CENTRAL ALEXANDER CNTY PWD;IL0315570
MARION;SW;A;C;CENTRAL LAKE COUNTY JAWA;IL1214220
CARROLL;GW;A;C;CENTRAL MACOUPIN COUNTY RWD;IL0150020
PIATT;GW;A;C;CENTRAL STICKNEY SD;IL1470100
CARROLL;GW;A;C;CENTRALIA;IL0150050
LAKE;GW;A;C;CENTURY PINES APARTMENTS;IL0975165
CASS;GW;A;C;CERRO GORDO;IL0170200
WILL;GW;A;C;CHADWICK;IL1970200
WILL;GWP;A;C;CHAIN-O-LAKES MHP;IL1970070
MORGAN;GUP;A;C;CHANDLERVILLE;IL1370050
COLES;SW;A;C;CHANNAHON;IL0290100
SANGAMON;GWP;A;C;CHANNAHON EAST;IL1670300
LIVINGSTON;GW;A;C;CHAPIN;IL1050100
IROQUOIS;GW;A;C;CHARLESTON;IL0754240
MCLEAN;GW;A;C;CHATHAM;IL1130300
BUREAU;GW;A;C;CHATSWORTH;IL0110200
ROCK ISLAND;GW;A;C;CHEBANSE;IL1615120
WINNEBAGO;GW;A;C;CHENOA;IL2010050
RANDOLPH;SW;A;C;CHERRY;IL1570100
MACOUPIN;SWP;A;C;CHERRY DALE SUBDIVISION;IL1170200
COOK;SW;A;C;CHERRY VALLEY;IL0316000
COOK;SWP;A;C;CHESTER;IL0310450
COOK;SWP;A;C;CHESTERFIELD;IL0310480
ROCK ISLAND;GW;A;C;CHICAGO;IL1615140
PEORIA;GW;A;C;CHICAGO HEIGHTS;IL1430200
EDGAR;GW;A;C;CHICAGO RIDGE;IL0450100
FRANKLIN;SWP;A;C;CHIGAKWA PARK ESTATES;IL0550150
COOK;SWP;A;C;CHILLICOTHE;IL0310510
PIATT;GW;A;C;CHRISMAN;IL1470150
WAYNE;GW;A;C;CHRISTOPHER;IL1910050
IROQUOIS;GW;A;C;CICERO;IL0750200
RICHLAND;GW;A;C;CISCO;IL1590100
DU PAGE;SWP;A;C;CISNE;IL0430250
CLARK;GW;A;C;CISSNA PARK;IL0230010
WINNEBAGO;GW;A;C;CLAREMONT;IL2015425
CLAY;GWP;A;C;CLARENDON HILLS;IL0250050
CLAY;SWP;A;C;CLARK-EDGAR RWD;IL0250020
ADAMS;GWP;A;C;CLARKS MHP;IL0010100
ADAMS;GW;A;C;CLAY CITY;IL0015200
COLES;GW;A;C;CLAY COUNTY WATER INC;IL0295100
IROQUOIS;GW;A;C;CLAYTON;IL0750250
DE WITT;GW;A;C;CLAYTON-CAMP POINT WATER COMMISSION;IL0390050
CLINTON;SWP;A;C;CLEAR WATER SERVICE CORP;IL0275150
ROCK ISLAND;SWP;A;C;CLIFTON;IL1610160
GRUNDY;GW;A;C;CLINTON;IL0630200
ROCK ISLAND;GW;A;C;CLINTON COUNTY EAST PWD;IL1614260
WILLIAMSON;SWP;A;C;CLOVER LEAF VILLAGE MHP;IL1995250
MONTGOMERY;GWP;A;C;COAL CITY;IL1350100
UNION;GW;A;C;COAL VALLEY;IL1810150
MONTGOMERY;SWP;A;C;COAL VALLEY PWD;IL1350150
MCDONOUGH;SWP;A;C;COALTON;IL1090200
MCLEAN;GW;A;C;COBDEN;IL1130350
WILL;GW;A;C;COFFEEN;IL1975400
MADISON;GW;A;C;COLCHESTER;IL1194280
HENRY;GW;A;C;COLFAX;IL0730400
HENRY;GW;A;C;COLLEGE VIEW SUBDIVISION;IL0730550
MCLEAN;GW;A;C;COLLINSVILLE;IL1135100
WILLIAMSON;SWP;A;C;COLONA EAST;IL1990200
MONROE;SWP;A;C;COLONA WEST;IL1330050
ST CLAIR;SWP;A;C;COLONIAL MEADOWS WATER COMPANY;IL1635030
LEE;GW;A;C;COLP;IL1030150
MORGAN;GUP;A;C;COLUMBIA;IL1370100
ST CLAIR;SWP;A;C;COMMONFIELDS OF CAHOKIA PWD;IL1630070
WOODFORD;GW;A;C;COMPTON;IL2030100
COLES;GW;A;C;CONCORD;IL0295200
MCLEAN;GW;A;C;CONCORDIA WATER COOPERATIVE;IL1130400
ROCK ISLAND;GW;A;C;CONGERVILLE;IL1610150
WILLIAMSON;SWP;A;C;COOKS MILLS WATER ASSOCIATION;IL1995120
LIVINGSTON;GW;A;C;COOKSVILLE;IL1050150
DE KALB;GW;A;C;CORDOVA;IL0370051
DE KALB;GW;A;C;CORINTH PWD;IL0375125
RANDOLPH;SW;A;C;CORNELL;IL1570150
LA SALLE;GW;A;C;CORTLAND;IL0995365
WHITESIDE;GW;A;C;CORTLAND CORNERS MHP;IL1955135
HENRY;GW;A;C;COULTERVILLE;IL0735700
COOK;SWP;A;C;COUNTRY ACRES MHP (LA SALLE COUNTY);IL0310540
HENRY;GW;A;C;COUNTRY ACRES MHP (WHITESIDE COUNTY);IL0735050
MADISON;SWP;A;C;COUNTRY CLUB ESTATES SUBDIVISION;IL1190030
MCLEAN;GW;A;C;COUNTRY CLUB HILLS;IL1135385
CHAMPAIGN;GW;A;C;COUNTRY ESTATES SUBDIVISION;IL0195865
OGLE;GW;A;C;COUNTRY HILLS WTR, INC.;IL1415220
CHAMPAIGN;GW;A;C;COUNTRY LANE MHP;IL0195625
COOK;SWP;A;C;COUNTRY TYME ESTATES;IL0310570
LA SALLE;GW;A;C;COUNTRY VIEW ESTATES SUBDIVISION;IL0995185
LAKE;GW;A;C;COUNTRY VIEW ESTS MHP;IL0975200
KANKAKEE;GW;A;C;COUNTRYSIDE;IL0915265
SHELBY;GW;A;C;COUNTRYSIDE ESTATES MHP;IL1730050
ROCK ISLAND;GW;A;C;COUNTRYSIDE LAKE SUBDIVISION -LAKE CO PW;IL1615150
JACKSON;SWP;A;C;COUNTRYSIDE MOBILE HOME ESTATES MHP;IL0775160
WILLIAMSON;SWP;A;C;COWDEN;IL1997037
WILLIAMSON;SWP;A;C;COYNE CENTER COOP;IL1990250
WILLIAMSON;SWP;A;C;CRAB ORCHARD LAKE MHC;IL1990300
IROQUOIS;GW;A;C;CRAB ORCHARD REFUGE;IL0750300
WILL;GW;A;C;CRAINVILLE;IL1970250
OGLE;GW;A;C;CREAL SPRINGS;IL1410150
COOK;SWP;A;C;CRESCENT CITY;IL0310600
WILL;GW;A;C;CREST HILL;IL1970300
TAZEWELL;GW;A;C;CRESTON;IL1790100
WILL;GW;A;C;CRESTWOOD;IL1975105
ROCK ISLAND;GW;A;C;CRETE;IL1615250
MCLEAN;GW;A;C;CREVE COEUR;IL1135150
WHITE;GWP;A;C;CRISWELL COURT MHP;IL1930150
MCHENRY;GW;A;C;CROPPERS 1ST 4TH AND 5TH ADDITION;IL1110150
WILL;GW;A;C;CROPSEY MUTUAL WATER ASSOCIATION;IL1975480
FULTON;SWP;A;C;CROSSVILLE;IL0570300
LIVINGSTON;GW;A;C;CRYSTAL LAKE;IL1050200
SANGAMON;GW;A;C;CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC;IL1675350
PERRY;GW;A;C;CUBA;IL1450050
HAMILTON;SWP;A;C;CULLOM;IL0650150
STEPHENSON;GW;A;C;CURRAN-GARDNER TOWNSHIP PWD;IL1770100
HANCOCK;GWP;A;C;CUTLER;IL0674300
HENDERSON;GW;A;C;DAHLGREN;IL0710010
MOULTRIE;GWP;A;C;DAKOTA;IL1390150
BUREAU;GW;A;C;DALLAS CITY;IL0110250
CLINTON;SWP;A;C;DALLAS RURAL WATER DISTRICT;IL0275200
IROQUOIS;GW;A;C;DALTON CITY;IL0750350
MCLEAN;GW;A;C;DALZELL;IL1130450
DU PAGE;SWP;A;C;DAMIANSVILLE;IL0430270
LA SALLE;GW;A;C;DANFORTH;IL0995225
STEPHENSON;GW;A;C;DANVERS;IL1770150
OGLE;GW;A;C;DARIEN;IL1410030
SANGAMON;GW;A;C;DATTIS MHP;IL1670400
LAKE;GW;A;C;DAVIS;IL0977189
DE KALB;GW;A;C;DAVIS JUNCTION;IL0370100
PIATT;GW;A;C;DAWSON;IL1470200
BUREAU;GW;A;C;DAYSPRING BIBLE COLLEGE;IL0110300
JACKSON;SWP;A;C;DE KALB;IL0770200
DE WITT;GW;A;C;DE LAND;IL0390100
MACON;SW;A;C;DE PUE;IL1150150
TAZEWELL;GW;A;C;DE SOTO;IL1794320
LAKE;SWP;A;C;DE WITT;IL0974340
SANGAMON;SWP;A;C;DECATUR;IL1670240
TAZEWELL;GW;A;C;DEER CREEK;IL1790150
PEORIA;GWP;A;C;DEERFIELD;IL1430070
COOK;SWP;A;C;DEERWOOD ESTATES;IL0310630
COOK;GW;A;C;DELAVAN;IL0317775
WILLIAMSON;SWP;A;C;DELUXE LAKE ESTATES MHP;IL1995160
CHAMPAIGN;GW;A;C;DES PLAINES;IL0195200
SCHUYLER;GWP;A;C;DES PLAINES MHP;IL1690020
GRUNDY;GW;A;C;DEVILS KITCHEN WATER DISTRICT;IL0630250
LAKE;GW;A;C;DEWEY PWD;IL0975185
EFFINGHAM;SWP;A;C;DHS RUSHVILLE TREATMENT AND DETENTION;IL0490150
SANGAMON;SWP;A;C;DIAMOND;IL1670450
JEFFERSON;SWP;A;C;DIAMOND LAKE MHP;IL0815100
WILL;GW;A;C;DIETERICH;IL1975520
COOK;SWP;A;C;DIVERNON;IL0310660
LEE;GW;A;C;DIX-KELL WATER COMMSSION;IL1030200
LEE;GW;A;C;DIXIE ESTATES SUBDIVISION;IL1035500
COOK;SWP;A;C;DIXMOOR;IL0310690
UNION;GWP;A;C;DIXON;IL1810200
BOND;SWP;A;C;DIXON CORRECTIONAL CENTER;IL0054360
DE KALB;GW;A;C;DOLTON;IL0375150
IROQUOIS;GW;A;C;DONGOLA;IL0750400
MACOUPIN;SWP;A;C;DONNELLSON;IL1170250
BUREAU;GW;A;C;DONNY BROOK ESTATES SUBDIVISION;IL0110350
JACKSON;SWP;A;C;DONOVAN;IL0770250
DU PAGE;SWP;A;C;DORCHESTER;IL0430300
MCLEAN;GW;A;C;DOVER;IL1130500
DU PAGE;SWP;A;C;DOWELL;IL0435400
WASHINGTON;SWP;A;C;DOWNERS GROVE;IL1890150
LAKE;GW;A;C;DOWNS;IL0975380
FULTON;SWP;A;C;DU PAGE WATER COMMISSION;IL0575150
PEORIA;SWP;A;C;DUBOIS;IL1430250
ST CLAIR;GW;A;C;DUCK LAKE WELL OWNERS ASSOCIATION;IL1630350
PERRY;SWP;A;C;DUNFERMLINE-ST DAVID WATER COMMISSION;IL1450100
WINNEBAGO;GW;A;C;DUNLAP;IL2010100
LIVINGSTON;GW;A;C;DUPO;IL1050250
SANGAMON;GWP;A;C;DUQUOIN;IL1670230
JASPER;SW;A;C;DURAND;IL0790010
MACOUPIN;SWP;A;C;DWIGHT;IL1170300
LA SALLE;GW;A;C;E J WATER - SANGCHRIS SERVICE AREA;IL0990150
MADISON;GW;A;C;E J WATER COOP;IL1190200
JO DAVIESS;GW;A;C;EAGARVILLE;IL0850100
KANE;GW;A;C;EARLVILLE;IL0890250
ROCK ISLAND;GW;A;C;EAST ALTON;IL1610140
KNOX;GWP;A;C;EAST DUBUQUE;IL0950150
COOK;SWP;A;C;EAST DUNDEE;IL0310750
ROCK ISLAND;GW;A;C;EAST END WATER ASSOCIATION;IL1615100
VERMILION;GW;A;C;EAST GALESBURG;IL1835200
ROCK ISLAND;SW;A;C;EAST HAZEL CREST;IL1610250
WILL;GW;A;C;EAST LAWN WATER ASSOCIATION;IL1975600
TAZEWELL;GW;A;C;EAST LYNN COMMUNITY WATER SYSTEM;IL1790200
CHAMPAIGN;GW;A;C;EAST MOLINE;IL0195825
COLES;SWP;A;C;EAST MORELAND WTR SERVICE ASSN;IL0295500
MASON;GW;A;C;EAST PEORIA;IL1250100
EFFINGHAM;SWP;A;C;EAST SIDE MHP;IL0495400
CRAWFORD;GWP;A;C;EASTERN ILLINOIS UNIVERSITY;IL0335100
ROCK ISLAND;GW;A;C;EASTON;IL1615330
PEORIA;GW;A;C;EASY BREEZE MANUFACTURED HOME PARK;IL1435150
EFFINGHAM;SWP;A;C;EATON PWD;IL0490200
SANGAMON;SWP;A;C;EBERTS 3RD ADDITION;IL1670140
ROCK ISLAND;GW;A;C;EDELSTEIN WATER COOP;IL1615550
CHRISTIAN;GW;A;C;EDGEWOOD;IL0210150
COOK;SWP;A;C;EDGEWOOD MOBILE HOME COURT (MHC);IL0315617
MADISON;GW;A;C;EDGINGTON WATER DISTRICT;IL1190250
EFFINGHAM;SW;A;C;EDINBURG;IL0490250
DOUGLAS;GWP;A;C;EDWARD HINES JR V A HOSPITAL;IL0415150
RANDOLPH;SWP;A;C;EDWARDSVILLE;IL1570010
CHAMPAIGN;GW;A;C;EFFINGHAM;IL0195645
WOODFORD;GW;A;C;EGYPTIAN TRAIL WATER CORP;IL2030150
KANE;GW;A;C;EGYPTIAN WATER COMPANY;IL0890300
SALINE;GWP;A;C;EHLERS MHP;IL1655030
GREENE;GW;A;C;EL PASO;IL0610100
KANE;SW;A;C;ELBURN;IL0894380
JO DAVIESS;GW;A;C;ELDORADO;IL0850150
HARDIN;GWP;A;C;ELDRED;IL0690100
COOK;SWP;A;C;ELGIN;IL0314400
LOGAN;GW;A;C;ELIZABETH;IL1070150
JACKSON;SWP;A;C;ELIZABETHTOWN;IL0770300
EDWARDS;GWP;A;C;ELK GROVE VILLAGE;IL0470010
FORD;GW;A;C;ELKHART;IL0530050
RANDOLPH;SWP;A;C;ELKVILLE;IL1570200
