pricipal_country_served;primary_source_water_type;status;type;water_system_name;water_system_no
MADISON;SWP;A;C;EMBARRAS AREA WATER DISTRICT;IL1195160
WILLIAMSON;SWP;A;C;EMDEN;IL1990350
WHITE;SWP;A;C;EMINGTON;IL1930200
GALLATIN;GWP;A;C;ENCHANTED VILLAGE;IL0590050
WHITESIDE;GW;A;C;ENERGY;IL1950200
PEORIA;GW;A;C;ENFIELD;IL1435245
WOODFORD;GW;A;C;EQUALITY;IL2030200
COOK;SW;A;C;ERIE;IL0310810
RANDOLPH;SW;A;C;ESQUIRE ESTATES MHP;IL1570250
COOK;SWP;A;C;EUREKA;IL0310840
ROCK ISLAND;GW;A;C;EVANSTON;IL1615310
FRANKLIN;SWP;A;C;EVANSVILLE;IL0555350
SCOTT;GWP;A;C;EVERGREEN PARK;IL1710010
ADAMS;GW;A;C;EVERGREEN VILLAGE SUBDIVISION;IL0015545
LIVINGSTON;GW;A;C;EWING-INA WATER COMMISSION;IL1050350
WAYNE;SW;A;C;EXETER-MERRITT WATER COOP;IL1910100
VERMILION;GW;A;C;EXPRESSWAY MHP;IL1830250
FULTON;SWP;A;C;FAIRBURY;IL0570450
ROCK ISLAND;GW;A;C;FAIRFIELD;IL1617635
WINNEBAGO;GW;A;C;FAIRMOUNT;IL2015125
FAYETTE;SWP;A;C;FAIRVIEW;IL0510150
DE WITT;GW;A;C;FALCON FARMS;IL0390150
MONTGOMERY;GW;A;C;FAMILY MANUFACTURED HOME COMMUNITY, LLC;IL1350200
PEORIA;GW;A;C;FARINA;IL1435170
FAYETTE;SWP;A;C;FARMER CITY;IL0510010
ST CLAIR;SWP;A;C;FARMERSVILLE;IL1630550
WILLIAMSON;SWP;A;C;FAWN HILLS SUBDIVISION;IL1995050
JERSEY;GWP;A;C;FAYETTE WATER COMPANY;IL0830150
LA SALLE;GWP;A;C;FAYETTEVILLE;IL0995150
LAKE;GW;A;C;FERGES WATER DISTRICT;IL0971050
MONTGOMERY;GW;A;C;FIELDON;IL1350250
SHELBY;SWP;A;C;FIELDS HILL IMPROVEMENT ASSOCIATION;IL1730100
VERMILION;GW;A;C;FIELDS OF LONG GROVE;IL1830300
LIVINGSTON;GW;A;C;FILLMORE;IL1050400
CRAWFORD;GWP;A;C;FINDLAY;IL0330050
CLAY;SWP;A;C;FITHIAN;IL0250100
COOK;SWP;A;C;FLANAGAN;IL0310870
MARION;SWP;A;C;FLAT ROCK;IL1210020
COOK;SWP;A;C;FLORA;IL0310720
MASON;GW;A;C;FLOSSMOOR;IL1250010
LAKE;GWP;A;C;FMC WATER COMPANY;IL0975500
COOK;SWP;A;C;FORD HEIGHTS;IL0310900
COOK;SWP;A;C;FOREST CITY;IL0310930
WINNEBAGO;GWP;A;C;FOREST LAKE ADDITION - LAKE CO PW;IL2010030
LIVINGSTON;GW;A;C;FOREST PARK;IL1050450
OGLE;GW;A;C;FOREST VIEW;IL1410200
MACON;GW;A;C;FOREST VIEW MHP;IL1150200
MASSAC;GWP;A;C;FORREST;IL1275050
MADISON;SWP;A;C;FORRESTON;IL1195220
CHAMPAIGN;GW;A;C;FORSYTH;IL0195945
MONROE;GW;A;C;FORT MASSAC PWD;IL1330020
PEORIA;GWP;A;C;FOSTERBURG PWD;IL1430060
LA SALLE;GW;A;C;FOUNTAIN VALLEY MHP;IL0990060
PEORIA;GW;A;C;FOUNTAIN WATER DISTRICT;IL1435750
LAKE;GW;A;C;FOUR SEASONS MHP;IL0970200
LAKE;GW;A;C;FOUR STAR CAMPGROUND;IL0975550
LAKE;GW;A;C;FOX CREEK FARMS WATER COMPANY;IL0975780
KENDALL;GW;A;C;FOX LAKE;IL0935150
MCHENRY;GW;A;C;FOX LAKE HILLS SUBDIVISION - LAKE CO PW;IL1110200
COOK;GWP;A;C;FOX LAKE PLANT 2;IL0310110
WILL;GW;A;C;FOX LAWN HOMEOWNERS WATER ASSOCIATION;IL1970400
MORGAN;SWP;A;C;FOX RIVER GROVE;IL1370150
LEE;GW;A;C;FRANCISCAN SISTERS OF CHICGO;IL1030250
COOK;SWP;A;C;FRANKFORT;IL0310960
ST CLAIR;SWP;A;C;FRANKLIN;IL1630600
WILLIAMSON;SWP;A;C;FRANKLIN GROVE;IL1994420
STEPHENSON;GW;A;C;FRANKLIN PARK;IL1770200
JO DAVIESS;GW;A;C;FREEBURG;IL0850010
KANE;GW;A;C;FREEMAN SPUR;IL0895030
ST CLAIR;SWP;A;C;FREEPORT;IL1635300
WHITESIDE;GW;A;C;FRENTRESS LAKE;IL1950250
MERCER;GW;A;C;FRWRD-SKYLINE PLANT;IL1315050
SALINE;SWP;A;C;FSH WATER COMMISSION;IL1650150
JO DAVIESS;GW;A;C;FULTON;IL0850200
VERMILION;SW;A;C;FYRE LAKE WATER COMPANY;IL1830600
KNOX;GW;A;C;GALATIA;IL0950200
GALLATIN;GWP;A;C;GALENA;IL0595100
HENRY;GW;A;C;GALENA TERRITORY -OAKWOOD;IL0730450
COOK;SWP;A;C;GALESBURG;IL0315620
WILL;GW;A;C;GALLATIN-WHITE WATER DISTRICT;IL1975376
GRUNDY;GW;A;C;GALVA;IL0630400
DOUGLAS;GWP;A;C;GARDEN HOME SD;IL0410010
SANGAMON;SWP;A;C;GARDEN STREET IMPROVEMENT ASSOCIATION;IL1670220
WILL;GW;A;C;GARDNER;IL1970020
CLINTON;SW;A;C;GARRETT;IL0270040
HENRY;GW;A;C;GASLITE COURT MHC;IL0730500
HENRY;GW;A;C;GATEWAY MHP;IL0735600
KANE;GW;A;C;GATEWAY REGIONAL WATER COMPANY;IL0890350
DE KALB;GW;A;C;GENESEO;IL0370150
VERMILION;GW;A;C;GENESEO HILLS SUBDIVISION;IL1830350
STEPHENSON;GW;A;C;GENEVA;IL1770250
CLINTON;SWP;A;C;GENOA;IL0270350
FORD;GW;A;C;GEORGETOWN;IL0530100
CHAMPAIGN;GW;A;C;GERMAN VALLEY;IL0190250
KANE;GW;A;C;GERMANTOWN;IL0890400
MACOUPIN;SW;A;C;GIBSON CITY;IL1170400
IROQUOIS;GW;A;C;GIFFORD;IL0750450
MACOUPIN;SWP;A;C;GILBERTS;IL1170450
HENDERSON;GW;A;C;GILLESPIE;IL0710020
PEORIA;GW;A;C;GILMAN;IL1430350
MADISON;GWP;A;C;GIRARD;IL1190300
COOK;SWP;A;C;GLADSTONE;IL0315650
DU PAGE;SWP;A;C;GLASFORD;IL0430450
DU PAGE;SWP;A;C;GLEN CARBON;IL0435500
COOK;SWP;A;C;GLEN EDEN ESTATES HOMEOWNERS ASSOCIATION;IL0315310
COOK;SW;A;C;GLEN ELLYN;IL0310990
DU PAGE;SWP;A;C;GLEN ELLYN HEIGHTS SUBDIVISION;IL0430400
LAKE;GW;A;C;GLENBROOK SD;IL0970160
COOK;SWP;A;C;GLENCOE;IL0311020
COOK;SWP;A;C;GLENDALE HEIGHTS;IL0311050
WILL;GW;A;C;GLENSTONE SBDV HOA;IL1970130
POPE;GWP;A;C;GLENVIEW;IL1510100
ADAMS;GWP;A;C;GLENWOOD;IL0010250
COOK;SWP;A;C;GODLEY PUBLIC WATER DISTRICT;IL0311080
MCDONOUGH;GW;A;C;GOLCONDA;IL1090250
WOODFORD;GW;A;C;GOLDEN;IL2034450
JOHNSON;SWP;A;C;GOLF;IL0870200
JACKSON;SWP;A;C;GOOD HOPE;IL0770350
LA SALLE;GW;A;C;GOODFIELD;IL0990200
JACKSON;GW;A;C;GOREVILLE;IL0770400
COOK;GW;A;C;GORHAM;IL0312540
SANGAMON;SWP;A;C;GRAND RIDGE;IL1670500
TAZEWELL;GW;A;C;GRAND TOWER;IL1795365
LAKE;SWP;A;C;GRANDBRIER OF PROSPECT HEIGHTS;IL0975600
MADISON;SWP;A;C;GRANDVIEW;IL1190350
PUTNAM;GW;A;C;GRANDVIEW MHP;IL1550050
LAKE;SWP;A;C;GRANDWOOD PARK SUBDIVISION - LAKE CO PW;IL0970250
WHITE;GW;A;C;GRANTFORK;IL1934460
LAKE;SW;A;C;GRANVILLE;IL0975227
WINNEBAGO;GW;A;C;GRAYSLAKE;IL2015488
LEE;GW;A;C;GRAYVILLE;IL1035165
WINNEBAGO;GW;A;C;GREAT LAKES NAVAL TRAINING STATION;IL2015495
LAKE;SWP;A;C;GREAT OAKS AND BEACON HILLS APARTMENTS;IL0970040
TAZEWELL;GW;A;C;GREEN ACRES MHP;IL1790250
GREENE;GWP;A;C;GREEN MEADOW ESTATES OF ROCKFORD LLC;IL0610020
GREENE;SW;A;C;GREEN OAKS;IL0610150
CUMBERLAND;GW;A;C;GREEN VALLEY;IL0350050
MENARD;GW;A;C;GREENE COUNTY RWD;IL1290100
BOONE;GWP;A;C;GREENFIELD;IL0070060
BOND;SW;A;C;GREENUP;IL0050050
FRANKLIN;SWP;A;C;GREENVIEW;IL0555200
MCLEAN;GW;A;C;GREENVIEW ESTATES MHP;IL1130600
PIKE;GW;A;C;GREENVILLE;IL1490300
TAZEWELL;GW;A;C;GREENWOOD-CREEK NATION WATER COMPANY;IL1795200
LAKE;SWP;A;C;GRIDLEY;IL0970350
LAKE;GW;A;C;GRIGGSVILLE;IL0970400
MADISON;SWP;A;C;GROVELAND TOWNSHIP WATER DISTRICT;IL1190450
HANCOCK;SW;A;C;GURNEE;IL0670400
HAMILTON;SWP;A;C;HAINESVILLE;IL0651000
PIATT;GW;A;C;HAMEL;IL1470250
KANE;SW;A;C;HAMILTON;IN5245020
KANE;GW;A;C;HAMILTON COUNTY WATER DISTRICT;IL0890450
ROCK ISLAND;SWP;A;C;HAMMOND;IL1610300
FRANKLIN;SWP;A;C;HAMMOND INDIANA;IL0550250
PEORIA;GWP;A;C;HAMPSHIRE;IL1430400
JO DAVIESS;GW;A;C;HAMPTON;IL0850250
COOK;SWP;A;C;HANAFORD;IL0314480
MCHENRY;GW;A;C;HANNA CITY;IL1110011
CALHOUN;GW;A;C;HANOVER;IL0130200
HARDIN;GWP;A;C;HANOVER PARK;IL0695000
CRAWFORD;GW;A;C;HARBOR LITES-PISTAKEE FSHG CL;IL0330020
LEE;GW;A;C;HARDIN;IL1030300
SALINE;GWP;A;C;HARDIN COUNTY WATER DISTRICT NO.1;IL1650200
MACON;GW;A;C;HARDINVILLE WATER COMPANY;IL1150210
MADISON;GW;A;C;HARMON;IL1190500
LOGAN;GW;A;C;HARRISBURG;IL1070250
MCHENRY;GW;A;C;HARRISTOWN;IL1110250
TAZEWELL;GW;A;C;HARTFORD;IL1795450
MONTGOMERY;GW;A;C;HARTSBURG;IL1354500
KANKAKEE;GW;A;C;HARVARD;IL0915165
COOK;SWP;A;C;HARVARD HILLS WATER CORPORATION;IL0311110
COOK;SWP;A;C;HARVEL;IL0311140
MASON;GW;A;C;HARVEST ESTATES (FORMERLY BILLS MHP);IL1250200
GRUNDY;GW;A;C;HARVEY;IL0630030
COOK;SWP;A;C;HARWOOD HEIGHTS;IL0311170
HENRY;GW;A;C;HAVANA;IL0735350
HENRY;GW;A;C;HAWTHORN ESTATES SUBDIVISION;IL0735220
HENRY;GW;A;C;HAZEL CREST;IL0735250
EFFINGHAM;SWP;A;C;HAZELWOOD 4TH ADDITION;IL0495200
GRUNDY;GW;A;C;HAZELWOOD HEIGHTS SUBDIVISION;IL0635150
MCHENRY;GW;A;C;HAZELWOOD WEST SUBDIVISION;IL1110300
MONROE;SWP;A;C;HEARTVILLE PWD;IL1330150
LAKE;GW;A;C;HEATHERFIELD SUBDIVISION;IL0975238
KNOX;GW;A;C;HEBRON;IL0950250
MONTGOMERY;SWP;A;C;HECKER;IL1350010
PUTNAM;GW;A;C;HEIDEN GARDENS CONDOS;IL1555100
MARSHALL;GW;A;C;HENDERSON;IL1230050
CHAMPAIGN;GWP;A;C;HENDERSON PWD;IL0190080
SHELBY;GW;A;C;HENNEPIN PWD;IL1730150
WILLIAMSON;SWP;A;C;HENRY;IL1990400
KANKAKEE;GW;A;C;HERITAGE OF RANTOUL;IL0910450
MACOUPIN;SWP;A;C;HERRICK;IL1170500
MCLEAN;GW;A;C;HERRIN;IL1130650
TAZEWELL;GW;A;C;HERSCHER;IL1795495
COOK;SWP;A;C;HETTICK;IL0311200
ROCK ISLAND;GW;A;C;HEYWORTH;IL1615450
HENRY;GW;A;C;HIATTS HIDEAWAY MHP;IL0730080
SCHUYLER;GWP;A;C;HICKORY HILLS;IL1695200
ROCK ISLAND;GW;A;C;HICKORY HILLS 2ND ADDITION;IL1610130
ROCK ISLAND;GWP;A;C;HICKORY HILLS 2ND ADDITION WATER ASSN;IL1610410
MADISON;SW;A;C;HICKORY-KERTON WTR COOP;IL1190550
LAKE;SW;A;C;HIDDEN MEADOWS;IL0970500
KANE;GW;A;C;HIGH CLIFF ESTATES;IL0895530
WILLIAMSON;SWP;A;C;HIGHLAND;IL1995100
LAKE;SW;A;C;HIGHLAND PARK;IL0970550
FRANKLIN;SWP;A;C;HIGHLAND SUBDIVISION;IL0555250
OGLE;GW;A;C;HIGHWAY 37 NORTH PWD;IL1410250
ROCK ISLAND;GW;A;C;HIGHWOOD;IL1615490
ROCK ISLAND;GW;A;C;HILL CITY WATER DISTRICT;IL1615510
HENRY;GW;A;C;HILLCREST;IL0735329
LAKE;GW;A;C;HILLCREST COURT 2ND ADDITION;IL0975700
MONTGOMERY;SW;A;C;HILLCREST COURT SUBDIVISION;IL1350300
ROCK ISLAND;GW;A;C;HILLCREST HOME;IL1615728
COOK;SWP;A;C;HILLDALE MANOR SUBDIVISION;IL0311230
COOK;SWP;A;C;HILLSBORO;IL0315770
MCLEAN;SWP;A;C;HILLSDALE PROPERTIES;IL1130080
GREENE;GW;A;C;HILLSIDE;IL0610200
WILL;GW;A;C;HILLSIDE BERKELEY WATER COMMISSION;IL1975800
DE KALB;GW;A;C;HILLTOP MHP;IL0370200
DOUGLAS;GWP;A;C;HILLVIEW;IL0410200
DU PAGE;SWP;A;C;HILLVIEW SUBDIVISION;IL0434520
DU PAGE;SWP;A;C;HINCKLEY;IL0430040
COOK;SWP;A;C;HINDSBORO;IL0311260
CLINTON;SWP;A;C;HINSDALE;IL0270400
COOK;SWP;A;C;HOBSON VALLEY WATER SYSTEM;IL0311290
CLINTON;SWP;A;C;HODGKINS;IL0275230
MADISON;SW;A;C;HOFFMAN;IL1195110
TAZEWELL;GW;A;C;HOFFMAN ESTATES;IL1795300
BUREAU;GWP;A;C;HOFFMAN RURAL WATER COMPANY;IL0110010
LAKE;GW;A;C;HOLIDAY SHORES SD;IL0975245
CHAMPAIGN;GW;A;C;HOLLANDS GROVE COURT SUBDIVISION;IL0190300
COOK;SWP;A;C;HOLLOWAYVILLE;IL0311320
COOK;SWP;A;C;HOLLY HOCK HILL MHP;IL0311350
WHITESIDE;GW;A;C;HOMER;IL1955225
VERMILION;GW;A;C;HOMETOWN;IL1830450
TAZEWELL;GW;A;C;HOMEWOOD;IL1790300
MARSHALL;GW;A;C;HONEYCUTT HILL MHP LLC;IL1235150
KANKAKEE;GW;A;C;HOOPESTON;IL0910040
WASHINGTON;SWP;A;C;HOPEDALE;IL1890200
WASHINGTON;SWP;A;C;HOPEWELL;IL1895400
WASHINGTON;SWP;A;C;HOPKINS PARK;IL1895500
MCLEAN;SWP;A;C;HOYLETON;IL1130700
PIKE;GW;A;C;HOYLETON RWC;IL1490350
COLES;SWP;A;C;HOYLETON-NEW MINDEN;IL0290150
EDGAR;GW;A;C;HUDSON;IL0450150
MCHENRY;GW;A;C;HULL;IL1110350
WILLIAMSON;SWP;A;C;HUMBOLDT;IL1990450
CRAWFORD;GWP;A;C;HUME;IL0330100
COOK;SWP;A;C;HUNTLEY;IL1970030
MADISON;SW;A;C;HURST;IL1195150
WILL;GW;A;C;HUTSONVILLE;IL1975040
DU PAGE;SWP;A;C;IL AMERICAN-ALPINE HEIGHTS;IL0435150
ALEXANDER;SW;A;C;IL AMERICAN-ALTON;IL0035030
WILL;GW;A;C;IL AMERICAN-ARBURY;IL1975210
CHAMPAIGN;GW;A;C;IL AMERICAN-ARROWHEAD;IL0195300
COOK;SWP;A;C;IL AMERICAN-CAIRO;IL0315150
DU PAGE;SWP;A;C;IL AMERICAN-CENTRAL STATES DST;IL0435350
DU PAGE;SWP;A;C;IL AMERICAN-CHAMPAIGN;IL0430552
ST CLAIR;SW;A;C;IL AMERICAN-CHICAGO SUBURBAN;IL1635040
FULTON;GW;A;C;IL AMERICAN-COUNTRY CLUB;IL0570500
COOK;SWP;A;C;IL AMERICAN-DUPAGE UTILITY;IL0315030
CHAMPAIGN;GW;A;C;IL AMERICAN-EAST ST LOUIS;IL0190150
MADISON;SW;A;C;IL AMERICAN-FARMINGTON;IL1195030
HARDIN;GWP;A;C;IL AMERICAN-FERNWAY;IL0690020
KENDALL;GW;A;C;IL AMERICAN-FISHER;IL0935200
WILL;SWP;A;C;IL AMERICAN-GRANITE CITY;IL1970100
COOK;SWP;A;C;IL AMERICAN-HARDIN COUNTY;IL0310290
DU PAGE;SWP;A;C;IL AMERICAN-HOLLIS;IL0437500
DU PAGE;SWP;A;C;IL AMERICAN-HOMER TOWNSHIP;IL0435650
LOGAN;GW;A;C;IL AMERICAN-LAKE WATER COMPANY;IL1075030
DU PAGE;SWP;A;C;IL AMERICAN-LIBERTY RIDGE EAST;IL0435700
COOK;GW;A;C;IL AMERICAN-LIBERTY RIDGE WEST;IL0317050
COOK;SWP;A;C;IL AMERICAN-LINCOLN;IL0315910
GRUNDY;GW;A;C;IL AMERICAN-LOMBARD HEIGHTS;IL0630040
TAZEWELL;GW;A;C;IL AMERICAN-MIDWEST PALOS;IL1795040
PEORIA;SW;A;C;IL AMERICAN-MORELAND;IL1435030
LIVINGSTON;SW;A;C;IL AMERICAN-NETTLE CREEK;IL1055030
GRUNDY;GW;A;C;IL AMERICAN-PEKIN;IL0635100
KANE;GWP;A;C;IL AMERICAN-PEORIA;IL0895600
KANE;GW;A;C;IL AMERICAN-PONTIAC;IL0895150
LIVINGSTON;GW;A;C;IL AMERICAN-RIDGECREST;IL1050650
WINNEBAGO;GWP;A;C;IL AMERICAN-RIVER GRANGE;IL2010450
WHITESIDE;GW;A;C;IL AMERICAN-ROLLINS;IL1955040
LA SALLE;SW;A;C;IL AMERICAN-SAUNEMIN;IL0995030
MCHENRY;GW;A;C;IL AMERICAN-SOUTH BELOIT;IL1110080
KENDALL;GW;A;C;IL AMERICAN-STERLING;IL0935100
DU PAGE;SWP;A;C;IL AMERICAN-STREATOR;IL0437350
TAZEWELL;GW;A;C;IL AMERICAN-TERRA COTTA;IL1797050
COOK;SWP;A;C;IL AMERICAN-VALLEY MARINA;IL0317550
WILL;SWP;A;C;IL AMERICAN-VALLEY VIEW;IL1974151
LA SALLE;GW;A;C;IL AMERICAN-WASHINGTON ESTATES;IL0995300
ADAMS;SWP;A;C;IL AMERICAN-WAYCINDEN;IL0015500
KANE;GW;A;C;IL AMERICAN-WEST SUBURBAN;IL0895930
ROCK ISLAND;GWP;A;C;IL PRAIRIE ESTATE SBDV WATER ASSOCIATION;IL1610120
MCLEAN;GWP;A;C;IL VETERANS HOME (QUINCY);IL1135510
SANGAMON;GW;A;C;IL YOUTH CENTER ST CHARLES;IL1670550
CHAMPAIGN;GWP;A;C;ILCV CANDLE MHP, LLC;IL0195400
CHAMPAIGN;GWP;A;C;ILLINOIS STATE UNIVERSITY-NORMAL;IL0195380
CHAMPAIGN;GWP;A;C;ILLIOPOLIS;IL0195370
CHAMPAIGN;GWP;A;C;ILUR LIBERTY COMMONS MHP LLC;IL0195390
CHAMPAIGN;GWP;A;C;ILUR PORTFOLIO 5 - TRAILSIDE MHP LLC;IL0195350
CHAMPAIGN;GWP;A;C;ILUR PORTFOLIO 5 - WILSON MHP LLC;IL0195360
WILL;GWP;A;C;ILUR PORTFOLIO 5-SURBANA ESTATES MHP LLC;IL1975225
ROCK ISLAND;GW;A;C;ILUR PORTFOLIOS - CARRIAGE ESTATES LLC;IL1615520
MCLEAN;GW;A;C;ILUR WOODS EDGE MHP LLC;IL1135250
COOK;SWP;A;C;IMPERIAL MHC;IL0311410
MCDONOUGH;GWP;A;C;INDIAN BLUFFS SUBDIVISION;IL1090300
WILL;GW;A;C;INDIAN CREEK HOMEOWNERS AND WATER ASSN.;IL1975880
CLAY;GW;A;C;INDIAN HEAD PARK;IL0250010
FULTON;GWP;A;C;INDUSTRY;IL0570550
IROQUOIS;GW;A;C;INGALLS PARK SUBDIVISION;IL0755185
MONTGOMERY;GWP;A;C;IOLA;IL1350350
WASHINGTON;SWP;A;C;IPAVA;IL1890250
LAKE;GW;A;C;IROQUOIS MOBILE ESTATES, INC.;IL0974540
DU PAGE;SWP;A;C;IRVING;IL0430500
MARION;SWP;A;C;IRVINGTON;IL1210150
CHAMPAIGN;GW;A;C;ISLAND LAKE;IL0194560
MORGAN;SW;A;C;ITASCA;IL1370200
WAYNE;SWP;A;C;IUKA;IL1910020
WAYNE;GW;A;C;IVESDALE;IL1910200
CHRISTIAN;SWP;A;C;JACKSONVILLE;IL0210200
SANGAMON;SWP;A;C;JASPER WATERWORKS CORPORATION;IL1670600
JERSEY;SWP;A;C;JEFFERSONVILLE (GEFF);IL0835300
JERSEY;GW;A;C;JEISYVILLE;IL0830250
CUMBERLAND;GWP;A;C;JEROME;IL0350100
MCHENRY;GW;A;C;JERSEY RWC;IL1110040
MCHENRY;GW;A;C;JERSEYVILLE;IL1115080
WILLIAMSON;SWP;A;C;JEWETT;IL1990500
WILL;GW;A;C;JOHNSBURG 1;IL1970450
UNION;GWP;A;C;JOHNSBURG NO.2;IL1810250
LA SALLE;GWP;A;C;JOHNSTON CITY;IL0995170
LA SALLE;GW;A;C;JOLIET;IL0990020
MASSAC;GW;A;C;JONESBORO;IL1270100
MERCER;GW;A;C;JONESVILLE PWD;IL1310100
PEORIA;GW;A;C;JONS MHP;IL1435220
MARION;SWP;A;C;JOPPA;IL1210200
MACOUPIN;SWP;A;C;JOY;IL1170030
CALHOUN;GW;A;C;JUBILEE WATER COMPANY, INC.;IL0130250
GREENE;GW;A;C;JUNCTION CITY;IL0610250
EDGAR;GW;A;C;KAHO PUBLIC WATER DISTRICT;IL0450200
PULASKI;GWP;A;C;KAMPSVILLE;IL1530050
FAYETTE;GW;A;C;KANE;IL0510020
ST CLAIR;SW;A;C;KANSAS;IL1635110
WABASH;GW;A;C;KARNAK;IL1850150
MERCER;GW;A;C;KASKASKIA SPRINGS WATER CO.;IL1310150
FORD;GW;A;C;KASKASKIA WATER DISTRICT;IL0530150
COOK;SWP;A;C;KEENSBURG;IL0311500
DE WITT;GW;A;C;KEITHSBURG;IL0390200
HENRY;GW;A;C;KEMPTON;IL0730650
CLINTON;SWP;A;C;KENILWORTH;IL0274580
CHRISTIAN;SWP;A;C;KENNEY;IL0210250
PIKE;GW;A;C;KEWANEE;IL1490400
DE KALB;GW;A;C;KEYESPORT;IL0370250
PEORIA;GWP;A;C;KINCAID;IL1430450
JACKSON;SW;A;C;KINDERHOOK;IL0775100
MARION;SWP;A;C;KINGSTON;IL1210300
GRUNDY;GW;A;C;KINGSTON MINES;IL0630450
DE KALB;GW;A;C;KINKAID AREA WATER SYSTEM;IL0370300
WARREN;GW;A;C;KINMUNDY;IL1870050
OGLE;GW;A;C;KINSMAN;IL1415250
KNOX;GWP;A;C;KIRKLAND;IL0950300
COOK;SWP;A;C;KIRKWOOD;IL0311530
COOK;SWP;A;C;KNOLLS EDGE SUBDIVISION;IL0311540
COOK;SWP;A;C;KNOXVILLE;IL0315860
COOK;SWP;A;C;LA GRANGE;IL0311560
ADAMS;GWP;A;C;LA GRANGE ESTATES MHP;IL0010300
MARSHALL;GW;A;C;LA GRANGE HIGHLANDS SANITARY DISTRICT;IL1230150
LA SALLE;GW;A;C;LA GRANGE PARK;IL0990300
LA SALLE;GW;A;C;LA PRAIRIE;IL0995329
MARSHALL;GW;A;C;LA ROSE;IL1230100
BUREAU;GW;A;C;LA SALLE;IL0110450
STARK;GW;A;C;LA SALLE COUNTY NURSING HOME;IL1750100
HANCOCK;SW;A;C;LACON;IL0670450
LAKE;GW;A;C;LADD;IL0971080
LAKE;GW;A;C;LAFAYETTE;IL0975520
LAKE;SWP;A;C;LAHARPE;IL0970750
LAKE;SWP;A;C;LAKE BARRINGTON;IL0975050
LAKE;SW;A;C;LAKE BARRINGTON SHORES SUBDIVSION;IL0975790
LAKE;GWP;A;C;LAKE BLUFF;IL0970450
LAKE;SW;A;C;LAKE CO. PW - ARDEN SHORES ESTATES;IL0970800
MCHENRY;GW;A;C;LAKE COUNTY PUBLIC WATER DISTRICT;IL1110400
IROQUOIS;GW;A;C;LAKE COUNTY PW- HAWTHORN WOODS;IL0755200
HENRY;GW;A;C;LAKE FOREST;IL0735330
COLES;GWP;A;C;LAKE IN THE HILLS;IL0295250
WILLIAMSON;SW;A;C;LAKE IROQUOIS ASSOCIATION;IL1995200
EFFINGHAM;SWP;A;C;LAKE LYNWOOD WATER SYSTEM;IL0495150
KANKAKEE;GU;A;C;LAKE MATTOON PWD;IL0910020
PUTNAM;GW;A;C;LAKE OF EGYPT PWD;IL1555050
LAKE;SWP;A;C;LAKE SARA AREA WATER CO-OP, INC.;IL0975345
LAKE;GW;A;C;LAKE SHANNON;IL0970840
WOODFORD;GW;A;C;LAKE THUNDERBIRD SUBDIVSION;IL2035125
MACOUPIN;SWP;A;C;LAKE VIEW MHP;IL1175100
TAZEWELL;GW;A;C;LAKE VILLA;IL1795730
LAKE;GW;A;C;LAKE WILDWIND MHP;IL0970850
LAKE;GW;A;C;LAKE WILLIAMSON CHRISTIAN CENTER;IL0970270
MADISON;SWP;A;C;LAKE WINDERMERE ESTATES SUBDIVISION;IL1190120
JACKSON;SWP;A;C;LAKE ZURICH;IL0775150
MCHENRY;GW;A;C;LAKEMOOR;IL1115760
WILL;SWP;A;C;LAKESHORE ESTATES MHP;IL1975930
BUREAU;GW;A;C;LAKESIDE PWD;IL0110500
CARROLL;GW;A;C;LAKEWOOD;IL0150100
LA SALLE;GW;A;C;LAKEWOOD SHORES IMPROVEMENT ASSOCIATION;IL0995050
CHRISTIAN;SWP;A;C;LAMOILLE;IL0215150
COOK;SWP;A;C;LANARK;IL0311590
LOGAN;GW;A;C;LAND AND WTR ASSN;IL1070300
LAWRENCE;GW;A;C;LANGLEYVILLE PWD;IL1010150
LAKE;GW;A;C;LANSING;IL0970280
LAKE;GW;A;C;LATHAM;IL0975750
LAKE;GW;A;C;LAWRENCEVILLE;IL0975900
LAKE;SWP;A;C;LCPW - BROOKS FARM SUBDIVISION;IL0975460
MCLEAN;GW;A;C;LCPW - HIGHLAND LAKE SUBDIVISION;IL1130750
OGLE;GW;A;C;LCPW - PEKARA SUBDIVISION;IL1410300
ST CLAIR;SWP;A;C;LCPW-KNOLLWOOD PWS;IL1630650
LEE;GW;A;C;LE ROY;IL1034600
WINNEBAGO;GW;A;C;LEAF RIVER;IL2015300
LA SALLE;GW;A;C;LEBANON;IL0990350
COOK;GW;A;C;LEE;IL0311620
STEPHENSON;GW;A;C;LEGEND LAKES WATER ASSOCIATION;IL1770300
ST CLAIR;SWP;A;C;LELAND;IL1630700
LA SALLE;GW;A;C;LEMONT;IL0990400
COLES;GWP;A;C;LENA;IL0290200
FULTON;GW;A;C;LENZBURG;IL0570600
MCLEAN;GW;A;C;LEONORE;IL1130800
COOK;SWP;A;C;LERNA;IL0315880
ADAMS;GWP;A;C;LEWISTOWN;IL0010350
DU PAGE;GW;A;C;LEXINGTON;IL0435600
SALINE;GWP;A;C;LEYDEN TWSP WATER DISTRICT;IL1655050
LAKE;SWP;A;C;LIBERTY;IL0970900
UNION;SWP;A;C;LIBERTY PARK HOMEOWNERS ASSOCIATION;IL1815100
ADAMS;GW;A;C;LIBERTY-LEDFORD PWD;IL0010400
